orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,νομοθετῶν,(),False,xx͂x,False,False,False,False
ἄλλων,ἄλλων,ἄλλος,ἄλλων,λων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,νομοθετῶν,(),False,x̓́xxxx,False,False,False,False
νομοθετῶν,νομοθετῶν,νομοθετῶν,νομοθετῶν,ῶν,ν,-20.0,NOUN,Nb,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,νομισθέντα,(),False,xxxx͂x,False,False,False,False
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,Pp,Case=Nom|Gender=Masc|Number=Plur,det,0.0,διετάξαντο,(),False,xx̔,False,False,False,False
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,διετάξαντο,(),False,xx̀x,False,False,False,False
ἀκαλλώπιστα,ἀκαλλώπιστα,ἀκαλλώπιστος,ἀκαλλώπιστα,στα,α,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,xcomp,0.0,διετάξαντο,"(γυμνὰ,)",False,x̓xxxx́xxxx,False,False,False,False
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀκαλλώπιστα,(),False,xxx̀,False,False,False,False
γυμνὰ,γυμνὰ,γυμνὰ,γυμνὰ,νὰ,γ,-20.0,ADJ,a-p---na-,Case=Acc|Degree=Pos|Gender=Neut|Number=Plur,conj,0.0,ἀκαλλώπιστα,"(ἀκαλλώπιστα,)",False,xxxx̀,False,False,False,False
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,νομισθέντα,(),False,xx̀,False,False,False,False
νομισθέντα,νομισθέντα,νομισθέντα,νομισθέντα,ντα,ν,-20.0,VERB,v-pappna-,Case=Acc|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,nsubj,0.0,ἀκαλλώπιστα,(),False,xxxx́xxx,False,False,False,False
παρὰ,παρὰ,παρὰ,παρὰ,ρὰ,π,-20.0,ADP,r--------,,case,0.0,αὐτοῖς,(),False,xxxx̀,False,False,False,False
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,αὐτοῖς,(),False,’,False,True,False,False
αὐτοῖς,αὐτοῖς,αὐτοῖς,αὐτοῖς,ῖς,α,-20.0,PRON,p-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,δίκαια,(),False,xx̓xxx͂x,False,False,False,False
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,δίκαια,(),False,xx̓͂xxx,False,False,False,False
δίκαια,δίκαια,δίκαιος,δίκαια,αια,δ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,xcomp,0.0,νομισθέντα,(),False,xx́xxxx,False,False,False,False
διετάξαντο,διετάξαντο,διετάξαντο,διετάξαντο,ντο,δ,-20.0,VERB,v3paim---,Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,διετάξαντο,"(ἐξετύφωσαν,)",False,xxxx́xxxx,False,False,False,False
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἱ,(),False,",",False,True,False,False
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,ἐξετύφωσαν,(),False,xx̔,False,False,False,False
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,διετάξαντο,(),False,xx̀,False,False,False,False
